File	Size	md5sum	Download_link
TF1_1.fastq.gz	9,046,328	8475d04e38cef8f4abb9d5ac68cdf430	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/TF1_1.fastq.gz
TF1_2.fastq.gz	12,593,125	4ff7155e7925fb5c6f5fad4a5729eafd	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/TF1_2.fastq.gz
TF2_1.fastq.gz	8,693,842	77368ff8cce1f3a9907553312cd0c967	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/TF2_1.fastq.gz
TF2_2.fastq.gz	11,956,069	cb1a0f9612323edd2b1e0e3665ba1322	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/TF2_2.fastq.gz
KP1_1.fastq.gz	7,042,079	4bfc5285352d17c851e8845a5f2002de	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/KP1_1.fastq.gz
KP1_2.fastq.gz	10,948,777	0891a98e1a01be602f1f109e8c2f2936	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/KP1_2.fastq.gz
KP2_1.fastq.gz	7,274,079	f223dd08a6ca9ba7668e49d923d12349	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/KP2_1.fastq.gz
KP2_2.fastq.gz	10,066,451	3f4fe2d4ff6c529e54ace0bfb54efbab	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/KP2_2.fastq.gz
KP3_1.fastq.gz	7,058,792	807c414b454046ae9b2eb7b3dd42d831	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/KP3_1.fastq.gz
KP3_2.fastq.gz	9,576,217	d766a63f2a0b6dc95f59b9a4db030450	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/KP3_2.fastq.gz
KP4_1.fastq.gz	7,413,414	024d7b46e95f8742c18247a6f78c3cda	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/KP4_1.fastq.gz
KP4_2.fastq.gz	9,759,523	cf2da007422bec370b178e7f178ea03e	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/KP4_2.fastq.gz
KP5_1.fastq.gz	9,187,007	15d01d7d121ce3154779acf23655f3c6	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/KP5_1.fastq.gz
KP5_2.fastq.gz	12,258,802	b2c106b7cc845b3301b78dd8b462f243	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/KP5_2.fastq.gz
KP6_1.fastq.gz	8,486,080	dbb4b71760f559ac91787e86ef018ec0	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/KP6_1.fastq.gz
KP6_2.fastq.gz	11,409,545	c1293af219659d872963824778cd3d22	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/KP6_2.fastq.gz
EF1_1.fastq.gz	8,467,783	247c172d6d21cc71bebae8582eb46bf2	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/EF1_1.fastq.gz
EF1_2.fastq.gz	11,432,096	1f76df8ba869161131b1e3c7b385eb3d	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/EF1_2.fastq.gz
EF2_1.fastq.gz	9,429,920	a4bdeb43737dc778beb3cc1635f4f892	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/EF2_1.fastq.gz
EF2_2.fastq.gz	13,361,490	f54743dc8972796120f39d15441426b4	https://data.macrogen.com/~macro3/HiSeq02/20241209/HN00230849/EF2_2.fastq.gz
