index,d__Bacteria;p__Firmicutes_D,d__Bacteria;__,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Fusobacteriota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Firmicutes_A,d__Bacteria;p__Firmicutes_C,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Campylobacterota,d__Bacteria;p__Desulfobacterota_I,d__Bacteria;p__Synergistota,d__Bacteria;p__Spirochaetota,seq-pos,subject,sample-type,tooth-number,tooth-location,replicate,gender,age,disease-state,din
EF1,5916.0,0.0,1200.0,1036.0,559.0,686.0,605.0,18.0,87.0,118.0,0.0,0.0,25.0,18.0,Horse-3,Gum,1.0,uppper jaw left,1.0,S,16.0,diseased,6.9
EF2,2031.0,5.0,2339.0,1700.0,513.0,1320.0,472.0,136.0,193.0,125.0,0.0,0.0,8.0,19.0,Horse-3,Gum,2.0,upper jaw right,2.0,S,16.0,diseased,7.4
EF3,1461.0,16.0,1726.0,2455.0,765.0,286.0,244.0,55.0,190.0,49.0,64.0,0.0,0.0,20.0,Horse-3,Gum,3.0,upper jaw right,3.0,S,16.0,diseased,7.4
EF4,3644.0,0.0,2098.0,1312.0,452.0,905.0,762.0,226.0,197.0,61.0,0.0,0.0,0.0,21.0,Horse-3,Gum,1.0,up left,4.0,S,16.0,diseased,6.3
EP1,4887.0,0.0,738.0,628.0,148.0,248.0,11.0,0.0,21.0,0.0,0.0,0.0,0.0,13.0,Horse-3,Plaque,1.0,uppper jaw left,1.0,S,16.0,diseased,6.7
EP2,2121.0,0.0,789.0,1742.0,396.0,308.0,3.0,99.0,42.0,0.0,14.0,0.0,0.0,14.0,Horse-3,Plaque,2.0,upper jaw right,2.0,S,16.0,diseased,7.5
EP3,1631.0,0.0,1224.0,1261.0,109.0,8.0,15.0,54.0,80.0,0.0,0.0,0.0,0.0,15.0,Horse-3,Plaque,3.0,upper jaw right,3.0,S,16.0,diseased,6.8
EP4,4271.0,0.0,980.0,398.0,233.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,Horse-3,Plaque,1.0,up left,4.0,S,16.0,diseased,6.7
EP5,5724.0,0.0,953.0,761.0,350.0,387.0,160.0,52.0,55.0,0.0,6.0,0.0,0.0,17.0,Horse-3,Plaque,1.0,up left,5.0,S,16.0,diseased,6.8
KF1,949.0,0.0,1418.0,624.0,162.0,261.0,0.0,221.0,0.0,113.0,0.0,0.0,0.0,7.0,Horse-1,Gum,1.0,upper jaw left,1.0,W,10.0,healthy,7.6
KP1,1649.0,0.0,629.0,1675.0,0.0,18.0,0.0,82.0,0.0,12.0,0.0,0.0,0.0,1.0,Horse-1,Plaque,1.0,upper jaw left,1.0,W,10.0,healthy,7.6
KP2,1862.0,0.0,791.0,2016.0,0.0,145.0,5.0,64.0,0.0,89.0,0.0,0.0,0.0,2.0,Horse-1,Plaque,2.0,upper jaw rigth,2.0,W,10.0,healthy,6.7
KP3,553.0,0.0,1079.0,750.0,65.0,88.0,0.0,120.0,0.0,35.0,0.0,0.0,0.0,3.0,Horse-1,Plaque,3.0,bottom jaw right,3.0,W,10.0,healthy,6.8
KP4,915.0,0.0,1464.0,214.0,568.0,1274.0,947.0,36.0,34.0,31.0,162.0,65.0,20.0,4.0,Horse-1,Plaque,1.0,up right,4.0,W,10.0,healthy,7.1
KP5,1392.0,17.0,1685.0,539.0,639.0,1484.0,826.0,41.0,100.0,25.0,107.0,52.0,13.0,5.0,Horse-1,Plaque,2.0,up left,5.0,W,10.0,healthy,7.1
KP6,1158.0,29.0,1481.0,371.0,569.0,966.0,741.0,28.0,9.0,84.0,158.0,73.0,16.0,6.0,Horse-1,Plaque,3.0,up left,6.0,W,10.0,healthy,7.0
TF1,1906.0,0.0,2756.0,965.0,835.0,1428.0,731.0,8.0,94.0,157.0,64.0,0.0,0.0,11.0,Horse-2,Gum,1.0,upper jaw left,1.0,S,24.0,onset,6.9
TF2,1709.0,0.0,2079.0,548.0,900.0,1263.0,669.0,0.0,45.0,106.0,57.0,0.0,0.0,12.0,Horse-2,Gum,2.0,upper jaw right,2.0,S,24.0,onset,7.3
TP1,1902.0,0.0,2230.0,617.0,483.0,1078.0,85.0,8.0,63.0,50.0,42.0,21.0,59.0,8.0,Horse-2,Plaque,1.0,upper jaw left,1.0,S,24.0,onset,7.1
TP2,1087.0,0.0,1602.0,278.0,557.0,1603.0,562.0,31.0,136.0,170.0,217.0,150.0,0.0,9.0,Horse-2,Plaque,2.0,upper jaw rigth,2.0,S,24.0,onset,7.0
TP3,1392.0,0.0,1017.0,4361.0,254.0,327.0,0.0,0.0,29.0,26.0,0.0,0.0,0.0,10.0,Horse-2,Plaque,3.0,bottom jaw right,3.0,S,24.0,onset,7.5
