sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
EF1	72278	45700	63.23	44165	39527	54.69	10337	14.3
EF2	78211	47978	61.34	46412	41921	53.6	9018	11.53
EF3	66507	38130	57.33	37010	35180	52.9	7563	11.37
EF4	79184	49428	62.42	47787	42793	54.04	9833	12.42
EP1	62950	38846	61.71	37629	33719	53.56	6756	10.73
EP2	70408	43514	61.8	41755	35342	50.2	5742	8.16
EP3	59581	35050	58.83	33996	30028	50.4	4624	7.76
EP4	63589	39364	61.9	38546	35213	55.38	6052	9.52
EP5	76552	48405	63.23	46483	41411	54.1	8533	11.15
KF1	58106	34221	58.89	32981	28166	48.47	3816	6.57
KP1	63420	36340	57.3	35420	31206	49.21	4120	6.5
KP2	64301	40083	62.34	38814	33347	51.86	5055	7.86
KP3	59816	36769	61.47	35470	30838	51.55	2839	4.75
KP4	57701	36006	62.4	32616	24423	42.33	5973	10.35
KP5	74346	47122	63.38	43255	32133	43.22	7160	9.63
KP6	68343	42957	62.86	39774	30655	44.85	5860	8.57
NK	4012	9	0.22	7	7	0.17	0	0
PK	55046	34246	62.21	34235	34235	62.19	9480	17.22
TF1	74620	47085	63.1	44685	37706	50.53	9169	12.29
TF2	69194	43011	62.16	40201	31478	45.49	7465	10.79
TP1	65675	40747	62.04	38577	31099	47.35	6816	10.38
TP2	59767	37110	62.09	33280	24773	41.45	7224	12.09
TP3	70266	43178	61.45	41579	36003	51.24	7512	10.69
