Genus,Taxonomy,healthy,onset,diseased,Mean Overall
Streptococcus,d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,26.04269927686447,20.730988352509364,49.00038299572964,31.924690208367824
Rothia,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia,15.181853756231574,12.170191898647989,8.904172743418979,12.085406132766181
Neisseriaceae_563222* (f),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_597441;f__Neisseriaceae_563222;__,9.24680785854052,10.814870918269682,3.7568739224133156,7.939517566407839
Gammaproteobacteria* (c),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__,1.1036665225650404,8.580060378454554,8.643778970915541,6.10916862397838
Pasteurellaceae* (f),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Pasteurellaceae;__,13.411032185648477,2.1790058745773235,1.6028959453587788,5.730978001861526
Fusobacterium_C,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales_993521;f__Fusobacteriaceae_993521;g__Fusobacterium_C,2.9422138223303085,4.5060403185730875,2.201556757166926,3.2166036326901075
Moraxella_C_651924,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales_660879;f__Moraxellaceae;g__Moraxella_C_651924,1.0650938534635148,5.094008096283545,2.6376211018179556,2.9322410171883386
Corynebacterium,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,2.2794190378040047,2.459135324149895,2.6350102495957737,2.457854870516558
Actinomycetaceae* (f),d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;__,2.20916768639392,2.3455016233813715,1.644210061166329,2.0662931236472066
Lachnospiraceae* (f),d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;__,2.67382459205619,1.536641868141389,0.9683115096051027,1.7262593232675607
