Genus,Taxonomy,Gum,Plaque,Mean Overall
Streptococcus,d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,29.33842779897865,37.25630636209387,33.29736708053626
Rothia,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia,7.328334996003706,13.997367536114703,10.662851266059205
Neisseriaceae_563222* (f),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_597441;f__Neisseriaceae_563222;__,7.066917235997501,7.367532446490669,7.217224841244085
Pasteurellaceae* (f),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Pasteurellaceae;__,7.003881264904521,5.012224951880237,6.008053108392379
Gammaproteobacteria* (c),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__,5.345747953042275,6.499981615512286,5.92286478427728
Fusobacterium_C,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales_993521;f__Fusobacteriaceae_993521;g__Fusobacterium_C,3.791226470549368,2.60008027641674,3.195653373483054
Moraxella_C_651924,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales_660879;f__Moraxellaceae;g__Moraxella_C_651924,3.8885029561550857,2.1031976199241664,2.995850288039626
Corynebacterium,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,3.6711400566602927,1.8763372667941016,2.7737386617271973
Actinomycetaceae* (f),d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;__,1.3998022665173302,2.299354043324282,1.8495781549208061
Gemella,d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella,2.9761512186944623,0.5289265655098357,1.752538892102149
Lachnospiraceae* (f),d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;__,1.712025883935133,1.652185991714305,1.682105937824719
Leptotrichiaceae* (f),d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales_993777;f__Leptotrichiaceae;__,1.797089642061866,1.561684593423694,1.6793871177427802
Bacteroides_H,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_H,1.76269232664927,1.2883163750618398,1.525504350855555
Microbacteriaceae* (f),d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;__,1.245787001967572,1.7741100478380503,1.509948524902811
WM01,d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__WM01,1.2945668915436113,1.5380461468473676,1.4163065191954893
Pseudoleptotrichia,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales_993777;f__Leptotrichiaceae;g__Pseudoleptotrichia,1.4689564712772232,1.36248340589677,1.4157199385869967
Cardiobacterium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Cardiobacterium,1.7815460842013866,0.7315671080515317,1.256556596126459
Actinomyces,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,2.006196228276159,0.5052996010819838,1.2557479146790713
Proteocatella_235853,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Filifactoraceae_235894;g__Proteocatella_235853,1.0305412511895253,1.0536315973743253,1.0420864242819254
Porphyromonas_A_859423,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A_859423,1.2251207789981093,0.6906583468621239,0.9578895629301166
Neisseria_561456,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_597441;f__Neisseriaceae_563222;g__Neisseria_561456,0.8428846429379718,0.9200920778967333,0.8814883604173526
Burkholderiales_592524* (o),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_592524;__;__,1.107140718640885,0.34951330158831373,0.7283270101145993
Arachnia,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Arachnia,1.2971104800785302,0.1498561164728343,0.7234832982756823
Capnocytophaga_820688,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_877923;f__Flavobacteriaceae;g__Capnocytophaga_820688,0.7781277313292857,0.6622477178051678,0.7201877245672268
Veillonella_A,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella_A,0.6701384841826544,0.7033848471977827,0.6867616656902186
Bacteroidales* (o),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;__;__,0.7943977666888744,0.5553235188067358,0.6748606427478051
Burkholderiaceae_A_592522* (f),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_592522;f__Burkholderiaceae_A_592522;__,0.6167650811713922,0.6940125708850307,0.6553888260282115
Campylobacteraceae* (f),d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;__,0.9002185093726596,0.14291072241832628,0.521564615895493
Weeksellaceae* (f),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_877923;f__Weeksellaceae;__,0.312302844214631,0.5629521225367523,0.4376274833756917
Actinomycetia* (c),d__Bacteria;p__Actinobacteriota;c__Actinomycetia;__;__;__,0.7400584563340474,0.11900536952322797,0.4295319129286377
F0058,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__F0058,0.13570164433785117,0.6368116579304017,0.38625665113412644
Peptoanaerobacter,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Filifactoraceae_235894;g__Peptoanaerobacter,0.4045735993674949,0.2553964157573256,0.3299850075624102
SDRW01,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA10027;g__SDRW01,0.4350499503845398,0.21022853713306944,0.3226392437588046
Tannerellaceae* (f),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;__,0.4453560535917423,0.15075645613934716,0.2980562548655447
Alysiella,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_597441;f__Neisseriaceae_563222;g__Alysiella,0.4957254797071731,0.0,0.24786273985358656
Alloprevotella,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella,0.3767932943870477,0.06576934842459468,0.22128132140582119
Campylobacter_A,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A,0.12852906196244174,0.2358581788834837,0.18219362042296272
Lactobacillales* (o),d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;__;__,0.24605301440975147,0.11338792830060537,0.17972047135517843
Desulfobulbaceae* (f),d__Bacteria;p__Desulfobacterota_I;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;__,0.22019917410634532,0.13012592143412102,0.17516254777023316
Aerococcaceae* (f),d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;__,0.09455920861216176,0.23471156655155564,0.1646353875818587
Parvimonas,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Tissierellales;f__Peptoniphilaceae;g__Parvimonas,0.3015252839741696,0.0,0.1507626419870848
Proteiniphilum,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Proteiniphilum,0.08270676691729324,0.1934429329080357,0.13807484991266447
Suttonella,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Suttonella,0.13497062404064997,0.13147951703385372,0.13322507053725186
Ga6A1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Ga6A1,0.06775832862789385,0.1905819385467173,0.12917013358730556
Actinobacillus_B,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Pasteurellaceae;g__Actinobacillus_B,0.2532135305450584,0.0,0.1266067652725292
