Phylum,Taxonomy,Gum,Plaque,Mean Overall
Firmicutes_D,d__Bacteria;p__Firmicutes_D,34.01751646086653,39.817687824643315,36.91760214275492
Proteobacteria,d__Bacteria;p__Proteobacteria,28.5372955713439,23.809601209262812,26.173448390303356
Actinobacteriota,d__Bacteria;p__Actinobacteriota,17.880665714277786,20.72132998114918,19.300997847713482
Fusobacteriota,d__Bacteria;p__Fusobacteriota,7.057272583888457,5.524248275737205,6.290760429812831
Bacteroidota,d__Bacteria;p__Bacteroidota,6.298037613332364,5.432790040627376,5.86541382697987
Firmicutes_A,d__Bacteria;p__Firmicutes_A,3.4860419419853543,2.9612140048459565,3.223627973415655
Firmicutes_C,d__Bacteria;p__Firmicutes_C,0.6981527403263365,0.8311113160521745,0.7646320281892555
Campylobacterota,d__Bacteria;p__Campylobacterota,1.0287475713351013,0.37876890130180996,0.7037582363184556
Patescibacteria,d__Bacteria;p__Patescibacteria,0.7337269033486,0.3931225249460407,0.5634247141473203
Desulfobacterota_I,d__Bacteria;p__Desulfobacterota_I,0.22019917410634532,0.13012592143412102,0.17516254777023316
Unclassified*,d__Bacteria;__,0.042343725189223524,0.0,0.021171862594611762
