Genus,Taxonomy,healthy,onset,diseased,Mean Overall
Streptococcus,d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,22.270027166674,16.853766182244044,45.520242837429414,28.214678728782484
Rothia,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia,13.990139709800621,11.584526027804962,7.675818897869814,11.0834948784918
Neisseriaceae_563222* (f),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_597441;f__Neisseriaceae_563222;__,8.18269267821307,9.223264027170677,4.05542227133059,7.153792992238112
Pasteurellaceae* (f),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Pasteurellaceae;__,12.402196377996432,3.1820462057323526,1.5849744786356355,5.723072354121474
Gammaproteobacteria* (c),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__,1.0095519600302085,6.450680600597403,7.7146246609451525,5.058285740524255
Fusobacterium_C,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales_993521;f__Fusobacteriaceae_993521;g__Fusobacterium_C,2.451598581716238,4.623604638411774,1.9300747742344089,3.0017593314541404
Moraxella_C_651924,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales_660879;f__Moraxellaceae;g__Moraxella_C_651924,0.704144521319087,3.859162646899725,2.2367006707445833,2.266669279654465
Corynebacterium,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,1.8853920142891647,1.7805841670981473,2.384129396149025,2.016701859178779
Lachnospiraceae* (f),d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;__,2.3991539522584766,2.424745092481454,1.1150377430247644,1.979645595921565
Bacteroides_H,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_H,2.221968008095033,2.573057146804789,0.8166748470830322,1.870566667327618
Actinomycetaceae* (f),d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;__,1.7235960822508696,1.7535052460445417,1.7560563741867634,1.7443859008273916
Bacteroidales* (o),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;__;__,1.8375020302554819,2.51576709434233,0.7303737173505491,1.694547613982787
Pseudoleptotrichia,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales_993777;f__Leptotrichiaceae;g__Pseudoleptotrichia,1.3589086957905654,1.5707629059413921,1.5732077295714733,1.5009597771011436
Leptotrichiaceae* (f),d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales_993777;f__Leptotrichiaceae;__,1.0928713887619985,1.9968718790202662,1.3612409536474983,1.4836614071432546
Actinomyces,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,1.3314128944796892,0.8874548338879975,1.9711687880818636,1.3966788388165166
Microbacteriaceae* (f),d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;__,0.29610838370331066,0.5417527070426599,2.7988546663829568,1.2122385857096425
WM01,d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__WM01,1.9080567520263563,1.0414704757542315,0.5653741220771409,1.1716337832859096
Porphyromonas_A_859423,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A_859423,0.329971459312601,2.2707767154875795,0.7138243566983096,1.1048575104994967
Gemella,d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella,0.24990008883714349,1.916650148640548,1.0268983613097693,1.064482866262487
Alloprevotella,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella,0.5485007865379073,1.8724780053121877,0.5862617210561104,1.0024135043020685
Proteocatella_235853,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Filifactoraceae_235894;g__Proteocatella_235853,1.3924014643500748,1.0431897276219484,0.5535782291310806,0.996389807034368
