Genus,Taxonomy,Gum,Plaque,Mean Overall
Streptococcus,d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,25.683755614567826,33.57535123663058,29.629553425599205
Rothia,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia,5.814815389011256,13.159447890384191,9.487131639697724
Neisseriaceae_563222* (f),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_597441;f__Neisseriaceae_563222;__,6.498374165591978,6.743239297584024,6.620806731588001
Pasteurellaceae* (f),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Pasteurellaceae;__,6.38304190133305,5.164934476644724,5.773988188988888
Gammaproteobacteria* (c),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__,4.095873028915693,5.72005553352107,4.907964281218382
Fusobacterium_C,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales_993521;f__Fusobacteriaceae_993521;g__Fusobacterium_C,3.4653693736958013,2.385164329736544,2.925266851716173
Moraxella_C_651924,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales_660879;f__Moraxellaceae;g__Moraxella_C_651924,3.0050780034879723,1.6656846354298338,2.335381319458903
Corynebacterium,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,2.8948796548136326,1.663833708368621,2.2793566815911266
Lachnospiraceae* (f),d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;__,2.4313813360423806,1.5666766759387731,1.9990290059905769
Bacteroides_H,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_H,1.9270599670492008,1.591408260363719,1.75923411370646
Actinomyces,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,2.1626754123496434,1.1684968312205057,1.6655861217850747
Actinomycetaceae* (f),d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;__,1.221493809158432,2.0061963935393314,1.6138451013488817
Pseudoleptotrichia,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales_993777;f__Leptotrichiaceae;g__Pseudoleptotrichia,1.7711893858207013,1.3661942332599477,1.5686918095403244
Bacteroidales* (o),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;__;__,1.5193529352462967,1.5270887566379205,1.5232208459421086
Leptotrichiaceae* (f),d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales_993777;f__Leptotrichiaceae;__,1.6801879251833511,1.2945937302128103,1.4873908276980807
Microbacteriaceae* (f),d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;__,0.9499896494907446,1.665806190867705,1.307897920179225
Gemella,d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella,2.138009516974935,0.40061214271615153,1.2693108298455433
WM01,d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__WM01,1.0135002241402404,1.1826867980477311,1.0980935110939858
Cardiobacterium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Cardiobacterium,1.545702627173151,0.5884396310440051,1.0670711291085782
Porphyromonas_A_859423,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A_859423,1.2938517256170792,0.7879386373993812,1.0408951815082301
Burkholderiaceae_A_592522* (f),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_592522;f__Burkholderiaceae_A_592522;__,1.1816543175256287,0.8368858653458755,1.0092700914357522
Proteocatella_235853,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Filifactoraceae_235894;g__Proteocatella_235853,1.1368232791876256,0.8562285711733294,0.9965259251804774
Arachnia,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Arachnia,1.5283121036032568,0.43956805746182065,0.9839400805325387
Alloprevotella,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella,1.1825012373293096,0.7286244543232939,0.9555628458263017
Veillonella_A,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella_A,0.9914779771763165,0.7113467918090242,0.8514123844926703
Capnocytophaga_820688,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_877923;f__Flavobacteriaceae;g__Capnocytophaga_820688,0.851844144086792,0.7426834656058003,0.7972638048462961
Alysiella,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_597441;f__Neisseriaceae_563222;g__Alysiella,1.3622890253474775,0.054878836138251626,0.7085839307428646
F0058,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__F0058,0.4562582059815731,0.9469942024542322,0.7016262042179027
Campylobacteraceae* (f),d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;__,0.9790953363465534,0.3310158749886945,0.655055605667624
Burkholderiales_592524* (o),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_592524;__;__,0.9680238966839959,0.31571744897166304,0.6418706728278295
Capnocytophaga_820690,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_877923;f__Flavobacteriaceae;g__Capnocytophaga_820690,0.8140830589212664,0.4106341823093737,0.6123586206153201
Peptoanaerobacter,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Filifactoraceae_235894;g__Peptoanaerobacter,0.7874066628885082,0.3766335586975324,0.5820201107930203
Prevotella,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella,0.654453563854381,0.2993691439783233,0.4769113539163522
Actinomycetia* (c),d__Bacteria;p__Actinobacteriota;c__Actinomycetia;__;__;__,0.7001666439840954,0.14909665504357275,0.4246316495138341
Weeksellaceae* (f),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_877923;f__Weeksellaceae;__,0.3168772167731927,0.5179550099021927,0.4174161133376927
SDRW01,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA10027;g__SDRW01,0.5706471529381799,0.22731849240887694,0.3989828226735284
Porphyromonas_A_859424,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A_859424,0.4120089634206949,0.3219487819754466,0.3669788726980707
Tannerellaceae* (f),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;__,0.5441743784016527,0.15227357116437282,0.34822397478301276
